[2016.10.15_01:42:37]: Polling 20 times per second
Starting camera with hflip=False, vflip=False, resolution=1920x1088, framerate=10

PRESS [ENTER] TO QUIT!

[2016.10.15_01:42:47]: motor | Last face detected 0.93s ago
[2016.10.15_01:42:47]: motor | Staying at full speed!
[2016.10.15_01:42:47]: motor | obstacle in: 46cm
[2016.10.15_01:42:47]: motor | Slowing down because of obstacle
[2016.10.15_01:42:47]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:47]: steer | time since last face 0.98s
[2016.10.15_01:42:47]: STEER | TURNING: 95.015625
[2016.10.15_01:42:48]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:48]: motor | Last face detected 1.18s ago
[2016.10.15_01:42:48]: motor | Staying at full speed!
[2016.10.15_01:42:48]: motor | obstacle in: 46cm
[2016.10.15_01:42:48]: motor | Slowing down because of obstacle
[2016.10.15_01:42:48]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:48]: steer | time since last face 1.28s
[2016.10.15_01:42:48]: STEER | TURNING: 95.015625
[2016.10.15_01:42:48]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:48]: motor | Last face detected 1.52s ago
[2016.10.15_01:42:48]: motor | Staying at full speed!
[2016.10.15_01:42:48]: motor | obstacle in: 46cm
[2016.10.15_01:42:48]: motor | Slowing down because of obstacle
[2016.10.15_01:42:48]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:48]: steer | time since last face 1.57s
[2016.10.15_01:42:48]: STEER | TURNING: 95.015625
[2016.10.15_01:42:48]: obstc | Verified obstacle in 45.00cm
[2016.10.15_01:42:48]: motor | Last face detected 1.83s ago
[2016.10.15_01:42:48]: motor | Staying at full speed!
[2016.10.15_01:42:48]: motor | obstacle in: 45cm
[2016.10.15_01:42:48]: motor | Slowing down because of obstacle
[2016.10.15_01:42:48]: MOTOR | FINAL DECISION SENT: 89.2857142857
[2016.10.15_01:42:48]: steer | time since last face 1.88s
[2016.10.15_01:42:48]: STEER | TURNING: 95.015625
[2016.10.15_01:42:48]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:48]: motor | Last face detected 2.12s ago
[2016.10.15_01:42:48]: motor | Staying at full speed!
[2016.10.15_01:42:48]: motor | obstacle in: 46cm
[2016.10.15_01:42:48]: motor | Slowing down because of obstacle
[2016.10.15_01:42:48]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:48]: steer | time since last face 2.14s
[2016.10.15_01:42:49]: STEER | TURNING: 95.015625
[2016.10.15_01:42:49]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:49]: motor | Last face detected 2.29s ago
[2016.10.15_01:42:49]: motor | Staying at full speed!
[2016.10.15_01:42:49]: motor | obstacle in: 46cm
[2016.10.15_01:42:49]: motor | Slowing down because of obstacle
[2016.10.15_01:42:49]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:49]: steer | time since last face 2.32s
[2016.10.15_01:42:49]: faces | 1 new face(s) detected, nearest at -9.48%
[2016.10.15_01:42:49]: motor | Last face detected 0.00s ago
[2016.10.15_01:42:49]: motor | Staying at full speed!
[2016.10.15_01:42:49]: motor | obstacle in: 46cm
[2016.10.15_01:42:49]: motor | Slowing down because of obstacle
[2016.10.15_01:42:49]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:49]: STEER | TURNING: 95.015625
[2016.10.15_01:42:49]: steer | time since last face 0.03s
[2016.10.15_01:42:49]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:49]: obstc | Verified obstacle in 45.00cm
[2016.10.15_01:42:49]: motor | Last face detected 0.22s ago
[2016.10.15_01:42:49]: motor | Staying at full speed!
[2016.10.15_01:42:49]: motor | obstacle in: 45cm
[2016.10.15_01:42:49]: motor | Slowing down because of obstacle
[2016.10.15_01:42:49]: MOTOR | FINAL DECISION SENT: 89.2857142857
[2016.10.15_01:42:49]: steer | time since last face 0.25s
[2016.10.15_01:42:49]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:49]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:49]: motor | Last face detected 0.43s ago
[2016.10.15_01:42:49]: motor | Staying at full speed!
[2016.10.15_01:42:49]: motor | obstacle in: 46cm
[2016.10.15_01:42:49]: motor | Slowing down because of obstacle
[2016.10.15_01:42:49]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:49]: steer | time since last face 0.47s
[2016.10.15_01:42:49]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:49]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:49]: motor | Last face detected 0.63s ago
[2016.10.15_01:42:49]: motor | Staying at full speed!
[2016.10.15_01:42:49]: motor | obstacle in: 46cm
[2016.10.15_01:42:49]: motor | Slowing down because of obstacle
[2016.10.15_01:42:49]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:49]: steer | time since last face 0.66s
[2016.10.15_01:42:49]: STEER | TURNING: 94.7864583333
[2016.10.15_01:42:50]: obstc | Verified obstacle in 46.00cm
[2016.10.15_01:42:50]: motor | Last face detected 0.82s ago
[2016.10.15_01:42:50]: motor | Staying at full speed!
[2016.10.15_01:42:50]: motor | obstacle in: 46cm
[2016.10.15_01:42:50]: motor | Slowing down because of obstacle
[2016.10.15_01:42:50]: MOTOR | FINAL DECISION SENT: 88.8571428571
[2016.10.15_01:42:50]: steer | time since last face 0.91s
